x,y,z
0.31012952014676115,0.425,1.0
0.3092157805746321,0.43,1.0
0.30821663222572626,0.435,1.0
0.3071325133595317,0.44,1.0
0.3059638995064135,0.445,1.0
0.3047113032590308,0.45,1.0
0.30337527404749626,0.455,1.0
0.3019563978983783,0.46,1.0
0.3004552971776503,0.465,1.0
0.2988726303177001,0.47000000000000003,1.0
0.2972090915285202,0.47500000000000003,1.0
0.2954654104932039,0.48,1.0
0.2936423520478825,0.485,1.0
0.29174071584624295,0.49,1.0
0.2897613360087727,0.495,1.0
0.2877050807568878,0.5,1.0
0.28557285203210137,0.505,1.0
0.28336558510040305,0.51,1.0
0.28108424814201993,0.515,1.0
0.2787298418267408,0.52,1.0
0.2763033988749895,0.525,1.0
0.2738059836048393,0.53,1.0
0.271238691465168,0.535,1.0
0.26860264855515786,0.54,1.0
0.2658990111303513,0.545,1.0
0.26312896509547884,0.55,1.0
0.2602937254842823,0.555,1.0
0.2573945359265607,0.56,1.0
0.25443266810267307,0.5650000000000001,1.0
0.2514094211857377,0.5700000000000001,1.0
0.24832612127177162,0.5750000000000001,1.0
0.24518412079802115,0.58,1.0
0.24198479794973798,0.585,1.0
0.2387295560556621,0.59,1.0
0.235419822972475,0.595,1.0
0.23205705045849462,0.6,1.0
0.2286427135368863,0.605,1.0
0.22517830984866882,0.61,1.0
0.2216653589957993,0.615,1.0
0.21810540187462601,0.62,1.0
0.21449999999999997,0.625,1.0
0.2108507348203431,0.63,1.0
0.20715920702397234,0.635,1.0
0.20342703583698546,0.64,1.0
0.19965585831301452,0.645,1.0
0.19584732861516008,0.65,1.0
0.19200311729042063,0.655,1.0
0.18812491053693556,0.66,1.0
0.18421440946436302,0.665,1.0
0.18027332934771667,0.67,1.0
0.17630339887498953,0.675,1.0
0.17230635938889427,0.68,1.0
0.16828396412305308,0.685,1.0
0.16423797743297097,0.6900000000000001,1.0
0.16017017402213116,0.6950000000000001,1.0
0.15608233816355188,0.7000000000000001,1.0
0.151976262917145,0.705,1.0
0.14785374934322054,0.71,1.0
0.1437166057124824,0.715,1.0
0.13956664671286081,0.72,1.0
0.13540569265353075,0.725,1.0
0.13123556866646316,0.73,1.0
0.12705810390586272,0.735,1.0
0.12287513074583988,0.74,1.0
0.11868848397667142,0.745,1.0
0.11450000000000003,0.75,1.0
0.11031151602332863,0.755,1.0
0.10612486925416018,0.76,1.0
0.10194189609413734,0.765,1.0
0.0977644313335369,0.77,1.0
0.0935943073464693,0.775,1.0
0.08943335328713922,0.78,1.0
0.08528339428751766,0.785,1.0
0.08114625065677952,0.79,1.0
0.07702373708285504,0.795,1.0
0.07291766183644818,0.8,1.0
0.06882982597786881,0.805,1.0
0.064762022567029,0.81,1.0
0.06071603587694681,0.8150000000000001,1.0
0.0566936406111057,0.8200000000000001,1.0
0.05269660112501053,0.8250000000000001,1.0
0.04872667065228328,0.8300000000000001,1.0
0.04478559053563705,0.835,1.0
0.04087508946306449,0.84,1.0
0.036996882709579404,0.845,1.0
0.033152671384839946,0.85,1.0
0.029344141686985542,0.855,1.0
0.025572964163014578,0.86,1.0
0.021840792976027645,0.865,1.0
0.018149265179656926,0.87,1.0
0.014500000000000055,0.875,1.0
0.010894598125374008,0.88,1.0
0.00733464100420074,0.885,1.0
0.0038216901513311585,0.89,1.0
0.0003572864631136985,0.895,1.0
-0.0030570504584945812,0.9,1.0
-0.0064198229724749395,0.905,1.0
-0.009729556055662128,0.91,1.0
-0.012984797949737933,0.915,1.0
